date,workout_category,workout_type,workout_name,sets,reps,weight_kg,volume_load_kg,estimated_one_repMax
1-Dec,Push,Chest (compound),Flat Bench Press,2,20,30.0,1200,50.0
1-Dec,Push,Chest (isolation),Pec Deck,2,20,40.0,1600,66.67
1-Dec,Pull,Back (horizontal pull),Cable Row,2,20,32.5,1300,54.17
1-Dec,Pull,Back (vertical pull),Wide-Grip Lat Pulldown,2,20,45.0,1800,75.0
1-Dec,Push,Shoulders,Hip-height Cable Lateral Raises,2,40,5.0,400,11.67
1-Dec,Push,Triceps,Isolated Tricep Pushdown,2,20,10.0,400,16.67
1-Dec,Pull,Biceps,Biceps Cable Curl,2,20,20.0,800,33.33
3-Dec,Legs,Legs (compound),Back Squat,2,20,30.0,1200,50.0
3-Dec,Legs,Legs (isolation),Isolated Leg Extension,2,20,25.0,1000,41.67
3-Dec,Legs,Legs (isolation),Seated Hamstring Curls,2,20,40.0,1600,66.67
3-Dec,Legs,Hips/Glutes (abductor),Outer Thigh Abduction,2,20,20.0,800,33.33
3-Dec,Legs,Hips/Adductors,Inner Thigh Abduction,2,20,25.0,1000,41.67
3-Dec,Legs,Calf,Calves Raise w/ Kettlebell,2,20,14.0,560,23.33
3-Dec,Core,Core,Crunches,2,20,1.0,40,1.67
4-Dec,Pull,Back (vertical pull),Wide-Grip Lat Pulldown,2,20,50.0,2000,83.33
4-Dec,Pull,Back (horizontal pull),Single Arm Cable Row,2,20,13.0,520,21.67
4-Dec,Push,Chest (compound),Flat Bench Press,2,20,30.0,1200,50.0
4-Dec,Push,Shoulders,Hip-height Cable Lateral Raises,2,40,5.0,400,11.67
4-Dec,Pull,Forearms/Grip,Cable Standing Wrist Curl,1,10,5.0,50,6.67
4-Dec,Pull,Forearms/Grip,Cable Standing Wrist Reverse Curl,1,10,5.0,50,6.67
4-Dec,Pull,Traps,Trap Bar Shrugs,2,20,40.0,1600,66.67
6-Dec,Legs,Legs (compound),Back Squat,2,20,30.0,1200,50.0
6-Dec,Legs,Legs (isolation),Isolated Leg Extension,2,20,25.0,1000,41.67
6-Dec,Legs,Legs (isolation),Seated Hamstring Curls,2,20,40.0,1600,66.67
6-Dec,Legs,Hips/Glutes (abductor),Outer Thigh Abduction,2,20,20.0,800,33.33
6-Dec,Legs,Hips/Adductors,Inner Thigh Abduction,2,20,20.0,800,33.33
6-Dec,Legs,Calf,Standing Barbell Calf Raise,2,20,40.0,1600,66.67
6-Dec,Core,Core,Crunches,3,20,1.0,60,1.67
