date,workout_category,workout_type,workout_name,sets,reps,weight_kg,volume_load_kg,estimated_one_repMax
29-Dec,Push,Chest (compound),Dumbbell Bench Press,2,24,12.5,600,22.5
29-Dec,Push,Chest (isolation),Pec Deck,2,20,32.0,1280,53.33
29-Dec,Push,Shoulders (compound),Shoulder Press Machine,2,19,50.0,1900,81.67
29-Dec,Push,Shoulders (isolation),Hip-height Cable Lateral Raises,2,40,5.0,400,11.67
29-Dec,Push,Triceps,Isolated Tricep Pushdown,2,16,10.0,320,15.33
29-Dec,Push,Triceps,Cable Overhead Tricep Extension,2,25,10.0,500,18.33
29-Dec,Pull,Traps,Barbell Shrugs,2,20,40.0,1600,66.67
2-Jan,Pull,Back (compound),Wide-Grip Lat Pulldown,2,30,40.0,2400,80.0
2-Jan,Pull,Back (compound),Iso-Lateral Low Row,2,55,35.0,3850,99.17
2-Jan,Push,Chest (isolation),Pec Deck,2,23,32.0,1472,56.53
2-Jan,Push,Shoulders (compound),Shoulder Press Machine,2,23,32.0,1472,56.53
2-Jan,Pull,Biceps,Biceps Cable Curl,2,18,10.0,360,16.0
2-Jan,Push,Triceps,Tricep Rope Pushdown,2,16,17.5,560,26.83
3-Jan,Legs,Legs (isolation),Lying Hamstring Curls,2,24,18.0,864,32.4
3-Jan,Legs,Legs (compound),Back Squat,2,22,40.0,1760,69.33
3-Jan,Legs,Legs (isolation),Leg Extension,2,26,50.0,2600,93.33
3-Jan,Legs,Legs (compound),Dumbbell Wide Squat,2,32,22.5,1440,46.5
3-Jan,Legs,Calves,Seated Calf Raise,2,24,20.0,960,36.0
3-Jan,Legs,Legs/Posterior Chain,Dumbbell Deadlift,2,24,15.0,720,27.0
3-Jan,Core,Core,Reverse Crunch,2,28,1.0,56,1.93
